Unnamed: 0,Name,Album,Artist,Spotify_Link
0,Sick Thoughts,Sick Thoughts,Lewis Blissett,https://open.spotify.com/track/4uxJICczweCIPZkIA6AN5k
1,Mo Bamba,MUDBOY,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,https://open.spotify.com/track/3EikYy40GMSp8l5mDV6IQo
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,https://open.spotify.com/track/40NU01ZkeQlzMfUuf4aWNm
5,Rasputin,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
7,Whoopty,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
8,Streets,Hot Pink,Doja Cat,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
10,Paparazzi,Paparazzi,Kim Dracula,https://open.spotify.com/track/47enw9R1hdkfuxeSjoDQ0N
11,hot girl bummer,hot girl bummer,blackbear,https://open.spotify.com/track/6jRq8gaZhMUyy5RclRPcAf
12,Runnin Low,Runnin Low,Kieran Alleyne,https://open.spotify.com/track/3Hsdesnw3Yh4TmRzu6Vnmc
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,https://open.spotify.com/track/7LWuXmzfeNRjFW8nxU3Iq7
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr
15,Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,https://open.spotify.com/track/5XH02x5CtyL9hBUhXnRHSl
16,Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),Ямаджи,https://open.spotify.com/track/4wns4XvrgIzbJpuqI3XDMm
17,Минимум - The Sumo Remix,Минимум (Remix Pack),Ямаджи,https://open.spotify.com/track/7ynfTMcTrx1qAxDGZpErCZ
18,Superlife,Superlife,Lox Chatterbox,https://open.spotify.com/track/2T2t1nP72WixJKmLJgoWNY
19,Invincible,Meet The Woo 2,Pop Smoke,https://open.spotify.com/track/792HwhrdO3ErRKL5yRe4Ge
20,How She Walk,How She Walk,TheGrimLynn,https://open.spotify.com/track/3V9BNT8f4LgPeQqwFfRaTF
21,Arabian Night,Arabian Night,Żwirek,https://open.spotify.com/track/0S18dYlmsel6hdF45rn8t9
22,Monster,Monster,Besomorph,https://open.spotify.com/track/2HCYh0kf5Xqqijv6h4bh3H
23,PHONKY TOWN,PHONKY TOWN,PlayaPhonk,https://open.spotify.com/track/5mnpMkzp3Z2RCCbwIEZCbv
24,Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],Feder,https://open.spotify.com/track/0Cp85ha3RN0FDytbku8nzq
25,Blood // Water,Blood // Water,grandson,https://open.spotify.com/track/7clyJIrLkEbXUDwj1tC9zz
26,Fed Up,ANTI-ICON,Ghostemane,https://open.spotify.com/track/0BV0AYGLVlu2SdjN3J9twp
27,Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,https://open.spotify.com/track/0kEZlJh4mK1QRfb3CT5LPk
28,Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),Eminem,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
29,The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],Various Artists,https://open.spotify.com/track/7MyNaeme4s4l9MfBjRHRe6
