Unnamed: 0,Name,Album,Artist,Spotify_Link
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
1,Jocelyn Flores,17,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
3,how to live,how to live,yaeow,https://open.spotify.com/track/1DiOSZ8PpnmwgriDH0RNQd
4,It's You,YOU,Ali Gatie,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
5,Loosing Interest,Passion & Confusion,Timmies,https://open.spotify.com/track/2DIFiLjzVxSUc7YY2k7WDA
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,https://open.spotify.com/track/5alfrPuyUKhlcblBoawxz6
7,Dead and Cold,Dead and Cold,ELIJAH MOON,https://open.spotify.com/track/2Pbb9tq2u1ayF8FHgdzrRX
8,Heather,Kid Krow,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
9,Reckless,Reckless,Madison Beer,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
10,paradise,paradise,cliffe,https://open.spotify.com/track/7ttBDkWFs6J2JETvHqvvcg
11,Me Too,Me Too,April Jai,https://open.spotify.com/track/2P92PqoWzpthluor9E3uME
12,Six Feet Under,Six Feet Under,Billie Eilish,https://open.spotify.com/track/2VlLbhGLVJgdOW7kKdWWFc
13,Circles,Hollywood's Bleeding,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
14,All Alone,All Alone,Sølace,https://open.spotify.com/track/4NHsEHQtUKErl9uXA6Y0nm
15,Nobody Knows My Name,Nobody Knows My Name,DANIEL,https://open.spotify.com/track/11AEoNKdT9NVw1hCR2CPO7
16,Everybody Dies In Their Nightmares,17,XXXTENTACION,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
17,More to the Story,More to the Story,Kristina Nichol,https://open.spotify.com/track/4u2k3ph284OtMh9V1TlceD
18,talk with me (about it),talk with me (about it),Brvno,https://open.spotify.com/track/6iI8vlIOFQuYWsMvh1y46Z
19,Heartbreak Anniversary,TAKE TIME,Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
20,i haven't let go,i haven't let go,RNAQ,https://open.spotify.com/track/3g10FRbr34jrTbbmKL7n6K
21,idfc,deadroses,blackbear,https://open.spotify.com/track/6y6jbcPG4Yn3Du4moXaenr
22,Till Forever Falls Apart,Till Forever Falls Apart,Ashe,https://open.spotify.com/track/4x5YzxjrF9wvIIXJV7TveC
23,I Need You,I Need You,ORYL,https://open.spotify.com/track/7lgxhKix2M3Zd293zBkvSX
24,Someone Like You,21,Adele,https://open.spotify.com/track/1zwMYTA5nlNjZxYrvBB2pV
25,Train Wreck,Back from the Edge,James Arthur,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
26,When I'm Gone,When I'm Gone,Wikw,https://open.spotify.com/track/1ERtxzXGIPoTY91Xate3FN
27,Goodbye,Goodbye,Rachel Lorin,https://open.spotify.com/track/0AYAsuUtK8TgGIV0pO0HN4
28,bad ones,TOO YOUNG TO BE SAD,Tate McRae,https://open.spotify.com/track/6CYT0souHUHKTO4EMzTUFg
29,Helluvaride,Helluvaride,Oceans Ahead,https://open.spotify.com/track/6jM6PkbUxr2mlEaOROXxEk
30,Arcade,Small Town Boy (Track By Track),Duncan Laurence,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
31,Therapy,Therapy,Tasty,https://open.spotify.com/track/5MtK75Q7abVdbAnPcKCSiS
32,r u ok,TOO YOUNG TO BE SAD,Tate McRae,https://open.spotify.com/track/7rq1zCf90CnU7OalBLIgNp
33,Goddess Kinda Power - Acoustic Version,Goddess Kinda Power (Acoustic Version),Josefine,https://open.spotify.com/track/5FyLyRUJeXvXztdYHhErWS
34,Horrors in the Dark,Horrors in the Dark,Sofi Gev,https://open.spotify.com/track/3a9Iqa4BkMBLjjZmp0Wbw3
35,Like the Weather,Like the Weather,Hand Made House,https://open.spotify.com/track/7bjpE4cMdIbhpjO2wC1LKZ
36,Happier,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
37,Get to Me,Get to Me,Emma Charles,https://open.spotify.com/track/1uUI2If3OzI99ailLI0lxb
38,Skin,Skin,Sabrina Carpenter,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07
39,Self Destructive,Self Destructive,Julia Rizik,https://open.spotify.com/track/00fvtEWV0DyFSsi1vUDN5k
40,On The Low,On The Low,Wovy,https://open.spotify.com/track/1aXxi9PSxNV8vI5BruR7vv
41,7 Years,Lukas Graham,Lukas Graham,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
42,Oxygen,Welcome To Jupiter 1.0,Grace Gaustad,https://open.spotify.com/track/3PrPxBF54JzPbn8bEHVHWj
43,slower,slower,Tate McRae,https://open.spotify.com/track/1bd4heB3yXc5iFTPoOMPuo
44,What I Need,What I Need,ORYL,https://open.spotify.com/track/0Ni3B9K8SnmKZyKN1fXkp6
45,drivers license,drivers license,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
46,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
47,Half A Man,A Place We Knew,Dean Lewis,https://open.spotify.com/track/1ugQtcwmKOXvKAYzhjncmv
48,1-800-273-8255,Everybody,Logic,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
49,Amen,Amen,John Adams,https://open.spotify.com/track/5zYCXLfTdGAll7Ijoc2Llm
50,Let It Go,Chaos And The Calm,James Bay,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
51,lovely (with Khalid),lovely (with Khalid),Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
52,changes,?,XXXTENTACION,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
53,"i hate u, i love u (feat. olivia o'brien)",us,gnash,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
54,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
55,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
56,Too Late For Sorries,Too Late For Sorries,Wovy,https://open.spotify.com/track/1ydPLvMXCBEPYbiE2ipSWj
57,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith,https://open.spotify.com/track/29f11nLUcMYQ2Ndbnb7N0o
58,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,https://open.spotify.com/track/20R40KmQrdwKES14PmDwaf
59,Lost Without You,Lost Without You,Freya Ridings,https://open.spotify.com/track/3cWI6Hj9LQ0MfMuhw9uSMc
60,Sweater Weather,Sweater Weather,ORYL,https://open.spotify.com/track/5hw13ykgRUZGtkjhitYMZj
61,Dead End,Dead End,Jan Metternich,https://open.spotify.com/track/0BmHLzYMid4yN5BSVUiilM
62,Be Alright,A Place We Knew,Dean Lewis,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
63,Can We Kiss Forever?,Can We Kiss Forever?,Kina,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
64,Circles,Start as You Mean to Go On,Iann Brennan,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
65,Say Something,Is There Anybody Out There?,A Great Big World,https://open.spotify.com/track/6Vc5wAMmXdKIAM7WUoEb7N
66,If The World Was Ending,If The World Was Ending,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
67,my future,my future,Billie Eilish,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
68,Nude,In Rainbows,Radiohead,https://open.spotify.com/track/35YyxFpE0ZTOoqFx5bADW8
69,At My Worst,The Prelude,Pink Sweat$,https://open.spotify.com/track/00yCFRFQLu3OAhGahgVimh
70,Fix You,X&Y,Coldplay,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q
71,ANXIOUS,ANXIOUS,Josh A,https://open.spotify.com/track/4f3QKTht7dd8Uj9Yjg6AKa
72,XO,i think you think too much of me,EDEN,https://open.spotify.com/track/0ZAiqymvbQUZAh9y6ZT3Rm
73,Coaster,American Teen,Khalid,https://open.spotify.com/track/39KG4kom3enSx4GTThuDGt
74,Not About Angels,Not About Angels,Birdy,https://open.spotify.com/track/5sF7hdYvhrcgNq8NZjfK8L
75,Let Her Go,All The Little Lights,Passenger,https://open.spotify.com/track/1KxwZYyzWNyZSRyErj2ojT
76,Save Your Tears,After Hours,The Weeknd,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
77,Breathe Me,Colour The Small One,Sia,https://open.spotify.com/track/2Bo0hh0yoQReC4reJav5DT
78,Broken,Broken,Lund,https://open.spotify.com/track/4W8sUeokQKfHt1uTXp0Jq0
79,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
80,Let You Down,Perception,NF,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
81,Coaster,Coaster,Khalid,https://open.spotify.com/track/39KG4kom3enSx4GTThuDGt
82,Say You Won't Let Go,Back from the Edge,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
83,Let Her Go - Acoustic,All The Little Lights,Passenger,https://open.spotify.com/track/38OudvGwGjmc5R4sDb2rd0
84,Moonlight,YOU,Ali Gatie,https://open.spotify.com/track/6L4F4btXioJPhEwz6T7YYt
85,Stay,Unapologetic (Deluxe),Rihanna,https://open.spotify.com/track/789CxjEOtO76BVD1A9yJQH
86,You're Beautiful,Back to Bedlam,James Blunt,https://open.spotify.com/track/1sH3yiXsQrHmPuB9F3FeFm
87,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
88,Breakeven,The Script,The Script,https://open.spotify.com/track/285hMzLhJwHVLe9QT9qilk
89,Yellow,Parachutes,Coldplay,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
90,Feel,Escapology,Robbie Williams,https://open.spotify.com/track/2Ms33RTRCT6gArrpcrPxmo
91,How to Save a Life,How To Save A Life,The Fray,https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J
92,you broke me first,you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
93,Bigger Than Me,The Show Is Over,Baker Grace,https://open.spotify.com/track/2BVjm5NpJ1A2syfWm7TKIZ
94,No Surprises,OK Computer,Radiohead,https://open.spotify.com/track/10nyNJ6zNy2YVYLrcwLccB
95,Heart of Gold - 2009 Remaster,Harvest (2009 Remaster),Neil Young,https://open.spotify.com/track/1Q1b8eVkUPGlpSArl8JAVw
96,All of Me,Love In The Future (Expanded Edition),John Legend,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
97,you were good to me (bonus track),love is not dying,Jeremy Zucker,https://open.spotify.com/track/4KspcmqegtSGIwJSHmfGzb
98,the remedy for a broken heart (why am I so in love),?,XXXTENTACION,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
99,Lie,Perception,NF,https://open.spotify.com/track/07FkzikE6FuHIa8Ma7zJGc
