Unnamed: 0,Name,Album,Artist,Spotify_Link
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/album/47iQRvTe8uiasjN9jIS1nr
1,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/4y1nvncvBhdoelqPMyXxis
2,Ark,Ark,Star Party,https://open.spotify.com/track/270aqOuRwQS2xfNc3cj5VA
3,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/6A33QKUFTuGBrb27ykhwQg
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/4VZH6OfxPy1nNE7KbtVKyK
5,Mortals,Mortals,Warriyo,https://open.spotify.com/track/11uvudmvZBzG2ztQsOB5sF
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7
7,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/4y1nvncvBhdoelqPMyXxis
8,Ark,Ark,Star Party,https://open.spotify.com/track/270aqOuRwQS2xfNc3cj5VA
9,Ark,Ark,Star Party,https://open.spotify.com/track/270aqOuRwQS2xfNc3cj5VA
10,Mortals,Mortals,Warriyo,https://open.spotify.com/track/11uvudmvZBzG2ztQsOB5sF
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7
12,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/6A33QKUFTuGBrb27ykhwQg
13,Feel Good,Feel Good,Syn Cole,https://open.spotify.com/track/0dkV8DuMfWAVhfi3iMnIX3
14,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/4VZH6OfxPy1nNE7KbtVKyK
15,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7
16,Mortals,Mortals,Warriyo,https://open.spotify.com/track/11uvudmvZBzG2ztQsOB5sF
17,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/4y1nvncvBhdoelqPMyXxis
18,Blank,Blank,Disfigure,https://open.spotify.com/track/7ucAyhKPjKsLrP14q4mcyo
19,Symbolism,Symbolism,Electro-Light,https://open.spotify.com/track/2RQWB4Asy1rjZL4IUcJ7kn
20,Symbolism,Symbolism,Electro-Light,https://open.spotify.com/track/2RQWB4Asy1rjZL4IUcJ7kn
21,Blank,Blank,Disfigure,https://open.spotify.com/track/7ucAyhKPjKsLrP14q4mcyo
22,On & On,On & On,Cartoon,https://open.spotify.com/track/2uZWffKoemZDI0gHcBEcDc
23,On & On,On & On,Cartoon,https://open.spotify.com/track/2uZWffKoemZDI0gHcBEcDc
24,Invincible,Invincible,Deaf Kev,https://open.spotify.com/track/5KcKUpTEHMfcoAps9d5BvY
25,Invincible,Invincible,Deaf Kev,https://open.spotify.com/track/5KcKUpTEHMfcoAps9d5BvY
26,Sky High,Sky High,Elektronomia,https://open.spotify.com/track/61k7xAKMsuvTf2j2YnieSi
27,Nekozilla,NCS: Infinity,Various Artists,https://open.spotify.com/track/6ULbkJ16YabZNdJMHsIVmE
28,Firefly,Firefly,Jim Yosef,https://open.spotify.com/track/1YB2NnK2KrK9PdrJ0czdDB
29,Hope (Original Mix),Hope,Tobu,https://open.spotify.com/track/4XNt2ViSmF6lQFNVFAbOG5
