Unnamed: 0,Name,Album,Artist,Spotify_Link
0,Leave The Door Open,Leave The Door Open,Bruno Mars,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
1,Dynamite,Dynamite (DayTime Version),BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
2,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
3,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
4,Perfect,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
5,GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas,https://open.spotify.com/track/1zLBsSVxETQOfINOLYvT5m
6,We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu,https://open.spotify.com/track/6qc5W7qSNHX6rsggU1Bj1d
7,Dance Monkey,Dance Monkey,Tones And I,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K
8,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
9,Sugar,V (Deluxe),Maroon 5,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk
10,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5,https://open.spotify.com/track/6V1bu6o1Yo5ZXnsCJU8Ovk
11,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
12,Useless,Useless,Two Friends,https://open.spotify.com/track/2H21uChccQhR0ko4cCZ73d
13,Roar,PRISM (Deluxe),Katy Perry,https://open.spotify.com/track/27tNWlhdAryQY04Gb2ZhUI
14,The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,https://open.spotify.com/track/1ExfPZEiahqhLyajhybFeS
15,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
16,damn i love the rain,damn i love the rain,Gabriella Zauna,https://open.spotify.com/track/58sn3ippArur8BlKdm18la
