Unnamed: 0,Name,Album,Artist,Spotify_Link
0,Heathens,Heathens,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
1,Attention,Voicenotes,Charlie Puth,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
2,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
3,Believer,Evolve,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
4,Galway Girl,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
5,Faded,Different World,Alan Walker,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
6,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal
7,Fight Song,Wildfire,Rachel Platten,https://open.spotify.com/track/37f4ITSlgPX81ad2EvmVQr
8,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
9,Shape of You,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,Something Just Like This,Memories...Do Not Open,The Chainsmokers,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
11,Treat You Better,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
12,Thunder,Evolve,Imagine Dragons,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
13,Havana (feat. Young Thug),Camila,Camila Cabello,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
14,Let Me Love You,Encore,DJ Snake,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
15,Mama,Blue,Jonas Blue,https://open.spotify.com/track/7jEyX4bqaCSdMN4D4JNnVj
16,Alone,Different World,Alan Walker,https://open.spotify.com/track/1P7hMSbpJOQy58eC78qx7s
17,That's What I Like,24K Magic,Bruno Mars,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
18,In the Name of Love,In the Name of Love,Martin Garrix,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
19,Wolves,Wolves,Selena Gomez,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
20,Mercy,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/0AS63m1wHv9n4VVRizK6Hc
21,How Long,Voicenotes,Charlie Puth,https://open.spotify.com/track/6wmAHw1szh5RCKSRjiXhPe
22,Paris,Memories...Do Not Open,The Chainsmokers,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
23,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
24,Perfect,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
25,24K Magic,24K Magic,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
26,Friends (with BloodPop®),Friends (with BloodPop®),Justin Bieber,https://open.spotify.com/track/7iNIg7XDEaYECfWD5dJ9Va
27,Look What You Made Me Do,reputation,Taylor Swift,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
28,Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,https://open.spotify.com/track/0yvPEnB032fojLfVluFjUv
29,Starboy,Starboy,The Weeknd,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
30,Perfect Strangers,Blue,Jonas Blue,https://open.spotify.com/track/3P3pw6C19j31Rnzgo3JG7o
31,Issues,Nervous System,Julia Michaels,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
32,My Way,My Way,Calvin Harris,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
33,Ride,Blurryface,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
34,More Than You Know,More Than You Know,Axwell /\ Ingrosso,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
35,What About Us,Beautiful Trauma,P!nk,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
36,Slow Hands,Flicker (Deluxe),Niall Horan,https://open.spotify.com/track/2cOUlop2ZakjOKe4WinesN
37,Your Song,Phoenix (Deluxe Edition),Rita Ora,https://open.spotify.com/track/46xkXPGjR9Ig9BcaTUNus3
38,Crying in the Club,Crying in the Club,Camila Cabello,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
39,Fetish (feat. Gucci Mane),Fetish (feat. Gucci Mane),Selena Gomez,https://open.spotify.com/track/4lnAN2S1fcI0SjxEbksZVr
40,Pretty Girl - Cheat Codes X CADE Remix,Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
41,...Ready For It?,reputation,Taylor Swift,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5
42,Castle on the Hill,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
43,Most Girls,Most Girls,Hailee Steinfeld,https://open.spotify.com/track/10GJQkjRJcZhGTLagFOC62
44,Silence,Silence,Marshmello,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
45,The Cure,The Cure,Lady Gaga,https://open.spotify.com/track/34oB5r0lcN3fYWCs2uA1k5
46,Glorious (feat. Skylar Grey),GEMINI,Macklemore,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
47,I Like Me Better,I met you when I was 18. (the playlist),Lauv,https://open.spotify.com/track/0EcQcdcbQeVJn9fknj44Be
