Unnamed: 0,Name,Album,Artist,Spotify_Link
0,good 4 u,SOUR,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
1,Todo De Ti,Todo De Ti,Rauw Alejandro,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
3,Yonaguni,Yonaguni,Bad Bunny,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
5,Beggin',Chosen,Måneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
6,deja vu,SOUR,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
7,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,https://open.spotify.com/track/6jjYDGxVJsWS0a5wlVF5vS
8,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
11,traitor,SOUR,Olivia Rodrigo,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
12,Qué Más Pues?,Qué Más Pues?,J Balvin,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
13,happier,SOUR,Olivia Rodrigo,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
14,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
15,drivers license,SOUR,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
16,Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
17,Leave The Door Open,Leave The Door Open,Bruno Mars,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
18,favorite crime,SOUR,Olivia Rodrigo,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
19,RAPSTAR,Hall of Fame,Polo G,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
20,Pareja Del Año,Pareja Del Año,Sebastian Yatra,https://open.spotify.com/track/655JkvIwu2rDCaD1hPf04g
21,Build a Bitch,Build a Bitch,Bella Poarch,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
22,Blinding Lights,After Hours,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
24,ZITTI E BUONI,Teatro d'ira - Vol. I,Måneskin,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
25,brutal,SOUR,Olivia Rodrigo,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
26,"jealousy, jealousy",SOUR,Olivia Rodrigo,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
27,AM,AM,Nio Garcia,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
28,Dynamite,BE,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
29,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
30,Dinero,Dinero,Trinidad Cardona,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
31,Watermelon Sugar,Fine Line,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
32,Fiel - Remix,Fiel (Remix),Wisin,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
33,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
34,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
35,Heartbreak Anniversary,TAKE TIME,Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
36,Fiel,Los Legendarios 001,Los Legendarios,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
37,2/Catorce,2/Catorce,Rauw Alejandro,https://open.spotify.com/track/78QcVmzxS0wIwuC2rpAauI
38,The Business,The Business,Tiësto,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
39,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
40,Mood (feat. iann dior),El Dorado,24kGoldn,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
41,Save Your Tears,After Hours,The Weeknd,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
42,Rasputin,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
43,Your Love (9PM),Your Love (9PM),ATB,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
44,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
45,enough for you,SOUR,Olivia Rodrigo,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
46,Botella Tras Botella,Botella Tras Botella,Gera MX,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
